Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,color_identity,keywords,set,rarity
Kozilek's Unsealing,U,U,71937,4.39,13493,5.48,51924,66.10%,52.40%,9004,51.80%,12846,53.10%,21850,52.50%,29537,52.20%,0.4pp,{2}{U},3,Enchantment,"Devoid (This card has no color.)
Whenever you cast a creature spell with mana value 4, 5, or 6, create two 0/1 colorless Eldrazi Spawn creature tokens with ""Sacrifice this creature: Add {C}.""
Whenever you cast a creature spell with mana value 7 or greater, draw three cards.",,,[],['U'],['Devoid'],mh3,uncommon
Petrifying Meddler,U,C,243008,5.15,40190,7.18,186456,77.80%,53.90%,30235,52.50%,49991,57.50%,80226,55.60%,104603,52.40%,3.2pp,{4}{U},5,Creature — Eldrazi,"Devoid (This card has no color.)
When you cast this spell, tap up to one target creature and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Reach",4,5,[],['U'],"['Reach', 'Devoid']",mh3,common
Roil Cartographer,U,U,72747,4.21,18718,4.93,90872,80.50%,55.50%,16127,59.20%,24212,57.80%,40339,58.30%,50588,53.20%,5.1pp,{1}{U},2,Creature — Merfolk Rogue,"Landfall — Whenever a land enters the battlefield under your control, you get {E} (an energy counter).
{T}, Pay six {E}: Draw three cards.",1,3,['U'],['U'],['Landfall'],mh3,uncommon
Sage of the Unknowable,U,C,280408,6.63,34838,9.57,108706,53.50%,51.80%,19634,52.20%,27247,51.10%,46881,51.50%,61222,51.90%,-0.4pp,{1}{U},2,Creature — Human Wizard,{T}: Add {C}. Spend this mana only to cast a colorless spell or to activate an ability.,0,4,['U'],['U'],[],mh3,common
Serum Visionary,U,C,240887,5.14,48380,6.71,240766,82.30%,55.70%,42701,56.40%,65398,59.60%,108099,58.40%,131503,53.40%,4.9pp,{2}{U},3,Creature — Vedalken Wizard,"When Serum Visionary enters the battlefield, draw a card, then scry 2.",2,2,['U'],['U'],['Scry'],mh3,common
Shadow of the Second Sun,U,M,15253,4.12,3568,4.76,13403,62.40%,55.50%,2144,58.00%,4023,58.60%,6167,58.40%,7265,53.00%,5.4pp,{4}{U}{U},6,Enchantment — Aura,"Enchant player
At the beginning of enchanted player's postcombat main phase, there is an additional beginning phase after this phase. (The end step happens after the added untap, upkeep, and draw steps.)",,,['U'],['U'],['Enchant'],mh3,mythic
Strix Serenade,U,R,43290,5.83,4250,9.37,2446,9.60%,46.40%,384,,598,46.20%,982,44.30%,1461,47.80%,-3.5pp,{U},1,Instant,"Counter target artifact, creature, or planeswalker spell. Its controller creates a 2/2 blue Bird creature token with flying.",,,['U'],['U'],[],mh3,rare
Tamiyo Meets the Story Circle,U,U,110922,6.84,15855,9.5,33343,36.10%,49.90%,5809,43.20%,9543,52.70%,15352,49.10%,17985,50.70%,-1.6pp,{1}{U},2,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Until your next turn, whenever a creature attacks you or a planeswalker you control, it gets -2/-0 until end of turn.
II — Discard any number of cards, then investigate twice for each card discarded this way.
III — Shuffle up to three target cards from your graveyard into your library.",,,['U'],['U'],['Investigate'],mh3,uncommon
Tempest Harvester,U,C,275500,6.37,44511,8.72,171944,64.90%,54.00%,29920,54.60%,45662,56.00%,75582,55.40%,96356,53.00%,2.4pp,{1}{U},2,Creature — Merfolk Wizard,"When Tempest Harvester enters the battlefield, you get {E}{E} (two energy counters).
{T}, Pay {E}: Draw a card, then discard a card.",2,1,['U'],['U'],[],mh3,common
Triton Wavebreaker,U,U,112109,7.15,12436,10.53,14528,20.00%,48.60%,2514,46.60%,3641,48.40%,6155,47.70%,8347,49.30%,-1.6pp,{U},1,Enchantment Creature — Merfolk Wizard,"Bestow {1}{U} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
As long as Triton Wavebreaker is a creature, it has prowess. (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Enchanted creature gets +1/+1 and has prowess.",1,1,['U'],['U'],['Bestow'],mh3,uncommon
Tune the Narrative,U,C,263288,6.03,43131,8.15,164773,64.10%,54.20%,28896,53.90%,43625,56.40%,72521,55.40%,92320,53.30%,2.1pp,{U},1,Instant,Draw a card. You get {E}{E} (two energy counters).,,,['U'],['U'],[],mh3,common
Ugin's Binding,U,M,7504,2.24,3296,2.21,15264,76.00%,56.60%,2686,57.60%,4040,62.20%,6726,60.30%,8478,53.60%,6.7pp,{2}{U},3,Instant,"Devoid (This card has no color.)
Return target nonland permanent you don't control to its owner's hand.
Whenever you cast a colorless spell with mana value 7 or greater, you may exile Ugin's Binding from your graveyard. When you do, return each nonland permanent you don't control to its owner's hand.",,,[],['U'],['Devoid'],mh3,mythic
Unfathomable Truths,U,C,253221,5.48,43689,7.5,194261,73.90%,55.00%,31397,55.00%,52795,59.80%,84192,58.00%,110288,52.70%,5.2pp,{4}{U},5,Instant,"Devoid (This card has no color.)
Draw three cards and create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this creature: Add {C}.""",,,[],['U'],['Devoid'],mh3,common
Utter Insignificance,U,C,269937,6.05,36271,8.8,137614,64.20%,53.10%,22575,50.60%,36842,56.50%,59417,54.30%,77296,52.20%,2.1pp,{1}{U},2,Enchantment — Aura,"Flash
Enchant creature
Enchanted creature loses all abilities and has base power and toughness 1/1.
{2}{C}: Exile enchanted creature.",,,['U'],['U'],"['Enchant', 'Flash']",mh3,common
Volatile Stormdrake,U,R,26082,3.53,6541,4.08,29844,75.80%,55.70%,5168,56.80%,8382,58.90%,13550,58.10%,16521,53.70%,4.4pp,{1}{U},2,Creature — Drake,"Flying, hexproof from activated and triggered abilities
When Volatile Stormdrake enters the battlefield, exchange control of Volatile Stormdrake and target creature an opponent controls. If you do, you get {E}{E}{E}{E}, then sacrifice that creature unless you pay an amount of {E} equal to its mana value.",3,2,['U'],['U'],"['Flying', 'Hexproof from', 'Hexproof']",mh3,rare
Accursed Marauder,B,C,239025,5.37,41400,6.95,194959,78.90%,54.40%,34209,55.20%,48817,58.10%,83026,56.90%,110805,52.50%,4.4pp,{1}{B},2,Creature — Zombie Warrior,"When Accursed Marauder enters the battlefield, each player sacrifices a nontoken creature.",2,1,['B'],['B'],[],mh3,common
Arcbound Condor,B,U,84113,4.98,12407,6.62,47724,65.80%,51.90%,7764,51.00%,10543,53.10%,18307,52.20%,29431,51.70%,0.5pp,{2}{B}{B},4,Artifact Creature — Bird,"Flying
Modular 3 (This creature enters the battlefield with three +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)
Whenever another artifact enters the battlefield under your control, target creature an opponent controls gets -1/-1 until end of turn.",0,0,['B'],['B'],"['Flying', 'Modular']",mh3,uncommon
Breathe Your Last,B,C,179191,3.87,38780,4.81,205691,89.50%,53.90%,34182,53.10%,51905,58.20%,86087,56.20%,118780,52.20%,3.9pp,{1}{B}{B},3,Instant,Destroy target creature or planeswalker. You gain 1 life for each of its colors.,,,['B'],['B'],[],mh3,common
Chthonian Nightmare,B,R,20503,2.96,7513,2.99,36015,80.70%,54.00%,6075,51.90%,9139,59.30%,15214,56.30%,20155,51.90%,4.4pp,{1}{B},2,Enchantment,"When Chthonian Nightmare enters the battlefield, you get {E}{E}{E} (three energy counters).
Pay X {E}, Sacrifice a creature, Return Chthonian Nightmare to its owner's hand: Return target creature card with mana value X from your graveyard to the battlefield. Activate only as a sorcery.",,,['B'],['B'],[],mh3,rare
Consuming Corruption,B,U,96520,5.83,13843,8.02,44609,54.50%,53.30%,7334,52.30%,11584,57.30%,18918,55.40%,25452,51.80%,3.6pp,{B}{B},2,Instant,"Consuming Corruption deals X damage to target creature or planeswalker and you gain X life, where X is the number of Swamps you control.",,,['B'],['B'],[],mh3,uncommon
Crabomination,B,R,12647,1.83,7676,1.77,43488,91.70%,56.70%,7074,62.00%,11048,65.20%,18122,63.90%,25142,51.30%,12.6pp,{4}{B}{B},6,Creature — Crab Demon,"Emerge from artifact {5}{B}{B} (You may cast this spell by sacrificing an artifact and paying the emerge cost reduced by that artifact's mana value.)
When Crabomination enters the battlefield, target opponent exiles the top card of their library, a card at random from their graveyard, and a card at random from their hand. You may cast a spell from among cards exiled this way without paying its mana cost.",5,5,['B'],['B'],['Emerge'],mh3,rare
The Creation of Avacyn,B,U,113551,7.56,11413,11.43,5274,7.80%,48.50%,899,45.20%,1260,48.30%,2159,47.00%,3111,49.80%,-2.7pp,{1}{B}{B},3,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Search your library for a card, exile it face down, then shuffle.
II — Turn the exiled card face up. If it's a creature card, you lose life equal to its mana value.
III — You may put the exiled card onto the battlefield if it's a creature card. If you don't put it onto the battlefield, put it into its owner's hand.",,,['B'],['B'],[],mh3,uncommon
Dreadmobile,B,U,110213,6.94,14210,9.72,31106,37.10%,51.80%,5142,50.60%,6890,50.10%,12032,50.30%,19085,52.70%,-2.4pp,{2}{B},3,Artifact — Vehicle,"Menace
{1}, Sacrifice another artifact or creature: Put a +1/+1 counter on Dreadmobile.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",3,3,['B'],['B'],"['Crew', 'Menace']",mh3,uncommon
Dreamdrinker Vampire,B,C,269836,6.2,35685,8.82,132082,62.80%,52.60%,23265,53.70%,31506,53.60%,54771,53.60%,77123,51.90%,1.8pp,{1}{B},2,Creature — Vampire,"Lifelink
{1}{B}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)
Whenever one or more +1/+1 counters are put on Dreamdrinker Vampire, it gains menace until end of turn.",2,1,['B'],['B'],"['Lifelink', 'Adapt']",mh3,common
Drossclaw,B,C,287129,7.16,33241,10.29,82683,42.30%,52.00%,14635,51.80%,17882,52.00%,32517,51.90%,50097,52.10%,-0.2pp,{1}{B},2,Artifact — Equipment,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)
Equipped creature gets +1/+1.
Whenever equipped creature attacks, each opponent loses 1 life.
Equip {2}",,,['B'],['B'],"['Equip', 'Living weapon']",mh3,common
Emperor of Bones,B,R,14957,2.1,6759,2.18,36595,90.10%,54.60%,6467,57.50%,9003,59.30%,15470,58.60%,20938,51.50%,7.1pp,{1}{B},2,Creature — Skeleton Noble,"At the beginning of combat on your turn, exile up to one target card from a graveyard.
{1}{B}: Adapt 2.
Whenever one or more +1/+1 counters are put on Emperor of Bones, put a creature card exiled with Emperor of Bones onto the battlefield under your control with a finality counter on it. It gains haste. Sacrifice it at the beginning of the next end step.",2,2,['B'],['B'],['Adapt'],mh3,rare
Etched Slith,B,U,78017,4.46,12536,5.88,57241,78.40%,52.00%,10281,54.50%,12844,50.50%,23125,52.30%,34081,51.80%,0.5pp,{1}{B},2,Artifact Creature — Phyrexian Slith,"Menace
Whenever Etched Slith deals combat damage to a player, put a +1/+1 counter on it. When you do, you may remove a counter from another target permanent or opponent.",1,1,['B'],['B'],['Menace'],mh3,uncommon
Etherium Pteramander,B,U,88073,5.16,13177,6.82,52529,67.20%,53.80%,9326,56.20%,11400,55.10%,20726,55.60%,31600,52.60%,2.9pp,{B},1,Artifact Creature — Salamander Drake,"Flying
Etherium Pteramander can block only creatures with flying.
{6}{B}: Adapt 4. This ability costs {1} less to activate for each other artifact you control. (If this creature has no +1/+1 counters on it, put four +1/+1 counters on it.)",1,1,['B'],['B'],"['Flying', 'Adapt']",mh3,uncommon
Eviscerator's Insight,B,C,278935,6.71,40962,9.1,148686,61.00%,54.10%,24682,52.20%,38743,57.70%,63425,55.50%,84994,52.90%,2.6pp,{1}{B},2,Instant,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Draw two cards.
Flashback {4}{B} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)",,,['B'],['B'],['Flashback'],mh3,common
Fetid Gargantua,B,C,277812,6.53,33987,9.51,109936,55.20%,51.80%,17395,49.10%,28265,53.40%,45660,51.80%,64416,51.80%,-0.1pp,{4}{B},5,Creature — Horror,"{2}{B}: Adapt 2. (If this creature has no +1/+1 counters on it, put two +1/+1 counters on it.)
Whenever one or more +1/+1 counters are put on Fetid Gargantua, you may draw two cards. If you do, you lose 2 life.",4,4,['B'],['B'],['Adapt'],mh3,common
Flare of Malice,B,R,23643,3.2,5856,3.7,28152,81.00%,54.00%,4543,53.30%,7275,58.40%,11818,56.50%,16281,52.30%,4.2pp,{2}{B}{B},4,Instant,"You may sacrifice a nontoken black creature rather than pay this spell's mana cost.
Each opponent sacrifices a creature or planeswalker with the greatest mana value among creatures and planeswalkers they control.",,,['B'],['B'],[],mh3,rare
Gravedig,B,C,289869,7.02,36719,10.02,90593,42.00%,51.00%,14779,46.80%,22173,52.90%,36952,50.50%,53694,51.40%,-1.0pp,{1}{B},2,Sorcery,"Choose one —
• Target player creates a 2/2 black Zombie creature token.
• Return target creature card from your graveyard to your hand.
Entwine {2} (Choose both if you pay the entwine cost.)",,,['B'],['B'],['Entwine'],mh3,common
Grim Servant,B,U,100346,5.98,13938,8.34,43679,53.10%,52.40%,7167,49.10%,10858,55.30%,18025,52.90%,25636,52.10%,0.8pp,{3}{B},4,Creature — Zombie Warlock,"Menace
When Grim Servant enters the battlefield, search your library for a card with mana value less than or equal to your devotion to black, reveal it, put it into your hand, then shuffle. You lose 3 life. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)",3,2,['B'],['B'],['Menace'],mh3,uncommon
Kami of Jealous Thirst,B,C,282357,7.01,37536,9.64,109867,49.50%,53.40%,18589,51.30%,32738,57.90%,51327,55.50%,58736,51.50%,4.0pp,{2}{B},3,Creature — Spirit,"Deathtouch
{4}{B}: Each opponent loses 2 life and you gain 2 life. This ability costs {4}{B} less to activate if you've drawn three or more cards this turn. Activate only once each turn.",1,3,['B'],['B'],['Deathtouch'],mh3,common
Lethal Throwdown,B,U,90198,5.18,14872,6.93,63051,71.40%,53.50%,9928,52.30%,15410,56.60%,25338,54.90%,37336,52.60%,2.3pp,{B},1,Sorcery,"As an additional cost to cast this spell, sacrifice a creature or sacrifice a modified creature. (Equipment, Auras you control, and counters are modifications.)
Destroy target creature or planeswalker. If the modified creature was sacrificed, draw a card.",,,['B'],['B'],[],mh3,uncommon
Marionette Apprentice,B,U,58819,3.39,18393,3.78,99591,88.50%,56.20%,17827,60.40%,23874,60.10%,41701,60.20%,57321,53.10%,7.2pp,{1}{B},2,Creature — Human Artificer,"Fabricate 1 (When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)
Whenever another creature or artifact you control is put into a graveyard from the battlefield, each opponent loses 1 life.",1,2,['B'],['B'],['Fabricate'],mh3,uncommon
Mindless Conscription,B,U,97232,6.08,17442,7.53,58747,56.00%,55.20%,10274,57.30%,17695,58.90%,27969,58.30%,30722,52.40%,5.9pp,{2}{B},3,Enchantment,"When Mindless Conscription enters the battlefield and whenever you draw your third card each turn, amass Zombies 3. (Put three +1/+1 counters on an Army you control. It's also a Zombie. If you don't control an Army, create a 0/0 black Zombie Army creature token first.)",,,['B'],['B'],['Amass'],mh3,uncommon
Necrodominance,B,M,17664,4.82,2308,7.07,1779,13.40%,46.90%,289,,453,,742,43.90%,1027,49.00%,-5.0pp,{B}{B}{B},3,Legendary Enchantment,"Skip your draw step.
At the beginning of your end step, you may pay any amount of life. If you do, draw that many cards.
Your maximum hand size is five.
If a card or token would be put into your graveyard from anywhere, exile it instead.",,,['B'],['B'],[],mh3,mythic
Nethergoyf,B,M,9749,2.77,2418,3.15,10120,70.70%,53.00%,1748,57.20%,2471,56.70%,4219,56.90%,5818,50.20%,6.6pp,{B},1,Creature — Lhurgoyf,"Nethergoyf's power is equal to the number of card types among cards in your graveyard and its toughness is equal to that number plus 1.
Escape—{2}{B}, Exile any number of other cards from your graveyard with four or more card types among them. (You may cast this card from your graveyard for its escape cost.)",*,1+*,['B'],['B'],['Escape'],mh3,mythic
Quest for the Necropolis,B,U,105020,6.47,13098,9.33,28786,37.80%,50.00%,4903,48.90%,7169,49.90%,12072,49.50%,16501,50.30%,-0.8pp,{B},1,Enchantment,"Landfall — Whenever a land enters the battlefield under your control, put a quest counter on Quest for the Necropolis.
{5}{B}, Sacrifice Quest for the Necropolis: Put target creature card from a graveyard onto the battlefield under your control. This ability costs {1} less to activate for each quest counter on Quest for the Necropolis. Activate only as a sorcery.",,,['B'],['B'],['Landfall'],mh3,uncommon
Refurbished Familiar,B,C,237071,5.32,40195,6.95,177103,73.40%,54.30%,29953,55.30%,40627,57.90%,70580,56.80%,106051,52.70%,4.1pp,{3}{B},4,Artifact Creature — Zombie Rat,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)
Flying
When Refurbished Familiar enters the battlefield, each opponent discards a card. For each opponent who can't, you draw a card.",2,1,['B'],['B'],"['Flying', 'Affinity']",mh3,common
Retrofitted Transmogrant,B,C,271148,6.38,35294,9.03,134716,64.60%,53.30%,23838,54.80%,31568,54.00%,55406,54.30%,78833,52.60%,1.8pp,{B},1,Artifact Creature — Zombie,{3}{B}: Return Retrofitted Transmogrant from your graveyard to the battlefield tapped with two +1/+1 counters on it.,1,1,['B'],['B'],[],mh3,common
Ripples of Undeath,B,R,46676,6.36,5441,9.74,1673,5.10%,46.30%,284,,429,,713,42.90%,959,48.70%,-5.8pp,{1}{B},2,Enchantment,"At the beginning of your precombat main phase, mill three cards. Then you may pay {1} and 3 life. If you do, put a card from among those cards into your hand.",,,['B'],['B'],['Mill'],mh3,rare
Scurrilous Sentry,B,C,278591,6.67,37484,9.33,124226,55.60%,54.10%,20322,54.90%,33446,57.30%,53768,56.40%,70609,52.20%,4.2pp,{3}{B},4,Creature — Human Knight Rogue,"Menace
Whenever Scurrilous Sentry enters the battlefield or attacks, it connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on this creature.)",2,3,['B'],['B'],"['Menace', 'Connive']",mh3,common
"Shilgengar, Sire of Famine",WB,R,15270,2.21,6325,2.28,32789,87.90%,52.60%,5369,51.50%,8309,56.70%,13678,54.60%,19181,51.00%,3.7pp,{3}{B}{B},5,Legendary Creature — Elder Demon,"Flying
Sacrifice another creature: Create a Blood token. If you sacrificed an Angel this way, create a number of Blood tokens equal to its toughness instead.
{W/B}{W/B}{W/B}, Sacrifice six Blood tokens: Return each creature card from your graveyard to the battlefield with a finality counter on it. Those creatures are Vampires in addition to their other types.",6,6,['B'],"['B', 'W']",['Flying'],mh3,rare
Warren Soultrader,B,R,27520,3.68,5782,4.55,24774,72.60%,52.10%,4235,49.70%,5991,53.20%,10226,51.80%,14544,52.30%,-0.6pp,{2}{B},3,Creature — Zombie Goblin Wizard,"Pay 1 life, Sacrifice another creature: Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",3,3,['B'],['B'],['Treasure'],mh3,rare
Wither and Bloom,B,C,183246,3.9,43025,4.82,230811,88.90%,54.80%,40175,56.50%,56681,58.60%,96856,57.70%,133073,52.70%,5.0pp,{1}{B},2,Instant,"Target creature gets -3/-3 until end of turn.
{1}{B}, Exile Wither and Bloom from your graveyard: Put a +1/+1 counter on target creature you control. Activate only as a sorcery.",,,['B'],['B'],[],mh3,common
Wurmcoil Larva,B,U,61269,3.48,13807,4.22,71706,87.40%,54.10%,11597,54.20%,17972,57.90%,29569,56.50%,42247,52.30%,4.2pp,{3}{B}{B},5,Artifact Creature — Phyrexian Wurm,"Deathtouch, lifelink
When Wurmcoil Larva dies, create a 1/2 black Phyrexian Wurm artifact creature token with deathtouch and a 2/1 black Phyrexian Wurm artifact creature token with lifelink.",3,3,['B'],['B'],"['Lifelink', 'Deathtouch']",mh3,uncommon
Aether Revolt,R,R,22861,3.32,7636,3.42,34901,76.00%,54.80%,5874,53.20%,7951,54.60%,13825,54.00%,21104,55.30%,-1.3pp,{2}{R}{R},4,Enchantment,"Revolt — As long as a permanent you controlled left the battlefield this turn, if a source you control would deal noncombat damage to an opponent or a permanent an opponent controls, it deals that much damage plus 2 instead.
Whenever you get one or more {E}, Aether Revolt deals that much damage to any target.",,,['R'],['R'],['Revolt'],mh3,rare
Amped Raptor,R,U,53010,3.09,21537,3.31,122822,89.90%,59.50%,22211,65.30%,24992,63.00%,47203,64.10%,75192,56.60%,7.5pp,{1}{R},2,Creature — Dinosaur,"First strike
When Amped Raptor enters the battlefield, you get {E}{E} (two energy counters). Then if you cast it from your hand, exile cards from the top of your library until you exile a nonland card. You may cast that card by paying an amount of {E} equal to its mana value rather than paying its mana cost.",2,1,['R'],['R'],['First strike'],mh3,uncommon
"Ashling, Flame Dancer",R,M,10610,3.02,2739,3.39,11062,68.80%,52.70%,1801,51.40%,2571,52.20%,4372,51.90%,6694,53.20%,-1.4pp,{2}{R}{R},4,Legendary Creature — Elemental Shaman,"You don't lose unspent red mana as steps and phases end.
Magecraft — Whenever you cast or copy an instant or sorcery spell, discard a card, then draw a card. If this is the second time this ability has resolved this turn, Ashling, Flame Dancer deals 2 damage to each opponent and each creature they control. If it's the third time, add {R}{R}{R}{R}.",4,4,['R'],['R'],['Magecraft'],mh3,mythic
Detective's Phoenix,R,R,14076,2.01,8080,2.03,46746,93.70%,57.30%,8354,57.40%,9887,59.50%,18241,58.50%,28309,56.40%,2.1pp,{2}{R},3,Enchantment Creature — Phoenix,"Bestow—{R}, Collect evidence 6. (To pay this bestow cost, pay {R} and exile cards with total mana value 6 or greater from your graveyard.)
Flying, haste
Enchanted creature gets +2/+2 and has flying and haste.
You may cast Detective's Phoenix from your graveyard using its bestow ability.",2,2,['R'],['R'],"['Flying', 'Collect evidence', 'Haste', 'Bestow']",mh3,rare
Eldrazi Linebreaker,R,R,14986,2.2,6979,2.19,35725,84.10%,56.10%,5997,57.80%,7834,58.40%,13831,58.20%,21355,54.40%,3.8pp,{1}{C}{R},3,Creature — Eldrazi,"Devoid (This card has no color.)
Trample
At the beginning of combat on your turn, target creature you control gains haste and gets +X/+0 until end of turn, where X is the number of Eldrazi you control.",3,3,[],['R'],"['Devoid', 'Trample']",mh3,rare
Fanged Flames,R,C,165817,3.46,42617,4.36,235067,91.00%,55.70%,40660,55.40%,49716,56.30%,90376,55.90%,144564,55.60%,0.3pp,{1}{R},2,Sorcery,"Devoid (This card has no color.)
Fanged Flames deals 4 damage to target creature or planeswalker. If that creature or planeswalker would die this turn, exile it instead.",,,[],['R'],['Devoid'],mh3,common
Flare of Duplication,R,R,45526,5.95,5306,9.13,2987,9.50%,49.60%,469,,639,45.10%,1108,46.00%,1879,51.80%,-5.8pp,{1}{R}{R},3,Instant,"You may sacrifice a nontoken red creature rather than pay this spell's mana cost.
Copy target instant or sorcery spell. You may choose new targets for the copy.",,,['R'],['R'],[],mh3,rare
Frogmyr Enforcer,R,U,110865,7.05,12147,10.3,19847,27.80%,50.40%,3068,45.90%,3981,48.70%,7049,47.50%,12792,52.10%,-4.6pp,{7},7,Artifact Creature — Frog Myr,"Prototype {3}{R} — 2/2 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)",4,4,[],['R'],"['Affinity', 'Prototype']",mh3,uncommon
Furnace Hellkite,R,U,96958,6,12097,8.52,33796,47.50%,51.40%,5159,48.70%,6939,52.70%,12098,51.00%,21723,51.60%,-0.7pp,{5}{R}{R},7,Artifact Creature — Dragon,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)
Flying
{R}: Furnace Hellkite gets +1/+0 until end of turn.",5,5,['R'],['R'],"['Flying', 'Affinity']",mh3,uncommon
Galvanic Discharge,R,C,136104,3.02,54442,3.39,315940,92.90%,58.00%,54719,60.00%,66575,59.90%,121294,59.90%,194234,56.80%,3.1pp,{R},1,Instant,"Choose target creature or planeswalker. You get {E}{E}{E} (three energy counters), then you may pay any amount of {E}. Galvanic Discharge deals that much damage to that permanent.",,,['R'],['R'],[],mh3,common
Ghostfire Slice,R,U,52839,2.94,16846,3.51,94255,92.20%,55.80%,16130,54.50%,19714,58.10%,35844,56.50%,58368,55.40%,1.1pp,{2}{R},3,Instant,"Devoid (This card has no color.)
This spell costs {2} less to cast if an opponent controls a multicolored permanent.
Ghostfire Slice deals 4 damage to any target.",,,[],['R'],['Devoid'],mh3,uncommon
Glimpse the Impossible,R,C,257227,5.76,48347,7.69,205530,69.50%,56.70%,34988,55.70%,43305,59.10%,78293,57.50%,127212,56.20%,1.3pp,{2}{R},3,Sorcery,"Exile the top three cards of your library. You may play those cards this turn. At the beginning of the next end step, if any of those cards remain exiled, put them into your graveyard, then create a 0/1 colorless Eldrazi Spawn creature token for each card put into your graveyard this way. Those tokens have ""Sacrifice this creature: Add {C}.""",,,['R'],['R'],[],mh3,common
Infernal Captor,R,C,300939,7.73,40349,10.92,73193,29.90%,54.40%,11251,51.40%,14812,54.50%,26063,53.20%,46882,55.00%,-1.8pp,{3}{R},4,Creature — Devil Rogue,"Exploit (When this creature enters the battlefield, you may sacrifice a creature.)
When Infernal Captor exploits a creature, gain control of target artifact or creature until end of turn. Untap that permanent. It gains haste until end of turn.",3,3,['R'],['R'],['Exploit'],mh3,common
Inventor's Axe,R,C,295184,7.57,38898,10.7,79167,33.60%,55.20%,12658,55.30%,15450,54.20%,28108,54.70%,50896,55.50%,-0.8pp,{R},1,Artifact — Equipment,"Flash
When Inventor's Axe enters the battlefield, you get {E}{E} (two energy counters).
When Inventor's Axe enters the battlefield, attach it to target creature you control.
Equipped creature gets +2/+0.
Equip—Pay {E}{E}.",,,['R'],['R'],"['Equip', 'Flash']",mh3,common
Mogg Mob,R,U,116618,7.74,14284,11.11,12828,14.70%,54.80%,2111,53.30%,2560,55.40%,4671,54.50%,8140,55.00%,-0.5pp,{R}{R}{R},3,Creature — Goblin,"Sacrifice Mogg Mob: It deals 3 damage divided as you choose among one, two, or three targets.",3,3,['R'],['R'],[],mh3,uncommon
Molten Gatekeeper,R,C,245580,5.42,41067,7.49,195167,78.40%,55.30%,33290,54.20%,38592,54.10%,71882,54.20%,122688,55.90%,-1.8pp,{2}{R},3,Artifact Creature — Golem,"Whenever another creature enters the battlefield under your control, Molten Gatekeeper deals 1 damage to each opponent.
Unearth {R} ({R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",2,3,['R'],['R'],['Unearth'],mh3,common
Party Thrasher,R,R,22910,3.11,7684,3.43,40601,86.50%,56.70%,7425,60.30%,8522,57.30%,15947,58.70%,24630,55.50%,3.2pp,{1}{R},2,Creature — Lizard Wizard,"Noncreature spells you cast from exile have convoke. (Each creature you tap while casting a noncreature spell from exile pays for {1} or one mana of that creature's color.)
At the beginning of your precombat main phase, you may discard a card. If you do, exile the top two cards of your library, then choose one of them. You may play that card this turn.",1,4,['R'],['R'],[],mh3,rare
Phyrexian Ironworks,R,U,81122,4.78,15100,6.14,63951,71.00%,53.60%,10721,52.60%,13647,52.60%,24368,52.60%,39485,54.30%,-1.8pp,{2}{R},3,Artifact,"Whenever you attack, you get {E} (an energy counter).
{T}, Pay {E}{E}{E}: Create a 3/3 colorless Phyrexian Golem artifact creature token. Activate only as a sorcery.",,,['R'],['R'],[],mh3,uncommon
Powerbalance,R,R,46196,6.35,5008,9.92,1101,3.70%,47.90%,164,,233,,397,,699,51.60%,,{R}{R},2,Enchantment,"Whenever an opponent casts a spell, you may reveal the top card of your library. If you do, you may cast that card without paying its mana cost if the two spells have the same mana value.",,,['R'],['R'],[],mh3,rare
